entry_time,exit_time,symbol,direction,entry_price,exit_price,pnl,ret,reason
2026-05-27 11:55:51,2026-05-27 11:56:21,TX420260545000P,LONG,381.0,381.0,-100.0,-0.005249343832020997,觸及權利金硬停損 (-50.0%)
2026-05-27 11:56:21,2026-05-27 11:56:52,TX420260545000P,LONG,381.0,402.0,950.0,0.049868766404199474,觸及權利金硬停損 (-50.0%)
2026-05-27 11:56:52,2026-05-27 11:57:22,TX420260545000P,LONG,402.0,402.0,-100.0,-0.004975124378109453,觸及權利金硬停損 (-50.0%)
2026-05-27 11:58:53,2026-05-27 12:01:55,TX420260544900P,LONG,318.0,310.0,-500.0,-0.031446540880503145,觸及權利金硬停損 (-50.0%)
2026-05-27 12:01:55,2026-05-27 12:02:25,TX420260544900P,LONG,310.0,318.0,300.0,0.01935483870967742,觸及權利金硬停損 (-50.0%)
2026-05-27 12:02:25,2026-05-27 12:02:55,TX420260544900P,LONG,318.0,331.0,550.0,0.03459119496855346,觸及權利金硬停損 (-50.0%)
2026-05-27 12:02:55,2026-05-27 12:03:26,TX420260544900P,LONG,331.0,331.0,-100.0,-0.006042296072507553,觸及權利金硬停損 (-50.0%)
2026-05-27 12:03:26,2026-05-27 12:03:56,TX420260544900P,LONG,331.0,349.0,800.0,0.04833836858006042,觸及權利金硬停損 (-50.0%)
2026-05-27 12:03:56,2026-05-27 12:04:26,TX420260544900P,LONG,349.0,349.0,-100.0,-0.0057306590257879654,觸及權利金硬停損 (-50.0%)
2026-05-27 12:04:26,2026-05-27 12:04:56,TX420260544900P,LONG,349.0,340.0,-550.0,-0.03151862464183381,觸及權利金硬停損 (-50.0%)
2026-05-27 12:04:56,2026-05-27 12:05:27,TX420260544900P,LONG,340.0,340.0,-100.0,-0.0058823529411764705,觸及權利金硬停損 (-50.0%)
2026-05-27 12:14:02,2026-05-27 12:14:32,TX420260544800C,LONG,365.0,5.1,-18095.0,-0.9915068493150685,觸及權利金硬停損 (-50.0%)
2026-05-27 12:15:02,2026-05-27 12:15:32,TX420260544800C,LONG,4.5,3.1,-170.0,-0.7555555555555555,觸及權利金硬停利 (+250.0%)
2026-05-27 12:20:35,2026-05-27 12:24:07,TX420260544400C,SHORT,308.0,15.0,14550.0,0.9448051948051948,觸及權利金硬停損 (-50.0%)
2026-05-27 12:24:38,2026-05-27 12:27:09,TX420260544400C,SHORT,285.0,7.0,13800.0,0.968421052631579,觸及權利金硬停損 (-50.0%)
2026-05-27 12:27:09,2026-05-27 12:27:39,TX420260544500P,SHORT,7.0,296.0,-14550.0,-41.57142857142857,觸及權利金硬停損 (-50.0%)
2026-05-27 12:27:39,2026-05-27 12:28:10,TX420260544400C,SHORT,296.0,6.0,14400.0,0.972972972972973,觸及權利金硬停損 (-50.0%)
2026-05-27 12:28:10,2026-05-27 12:28:40,TX420260544400C,SHORT,6.0,8.0,-200.0,-0.6666666666666666,觸及權利金硬停損 (-50.0%)
2026-05-27 12:28:40,2026-05-27 12:29:10,TX420260544400C,SHORT,8.0,6.2,-10.000000000000014,-0.025000000000000036,觸及權利金硬停損 (-50.0%)
2026-05-27 12:33:13,2026-05-27 12:33:43,TX420260544500P,SHORT,7.1,320.0,-15744.999999999998,-44.352112676056336,觸及權利金硬停損 (-50.0%)
2026-05-27 12:33:43,2026-05-27 12:38:16,TX420260544600P,SHORT,320.0,335.0,-850.0,-0.053125,觸及權利金硬停損 (-50.0%)
2026-05-27 12:38:46,2026-05-27 12:39:16,TX420260544600P,LONG,303.0,291.0,-700.0,-0.0462046204620462,觸及權利金硬停損 (-50.0%)
2026-05-27 12:45:20,2026-05-27 12:45:50,TX420260544600P,LONG,330.0,339.0,350.0,0.021212121212121213,觸及權利金硬停損 (-50.0%)
2026-05-27 12:45:50,2026-05-27 12:46:20,TX420260544600P,LONG,339.0,330.0,-550.0,-0.032448377581120944,觸及權利金硬停損 (-50.0%)
2026-05-27 12:59:28,2026-05-27 12:59:58,TX420260544600P,SHORT,251.0,246.0,150.0,0.01195219123505976,觸及權利金硬停損 (-50.0%)
2026-05-27 12:59:58,2026-05-27 13:00:28,TX420260544600P,SHORT,246.0,250.0,-300.0,-0.024390243902439025,觸及權利金硬停損 (-50.0%)
2026-05-27 13:00:28,2026-05-27 13:00:59,TX420260544600P,SHORT,250.0,299.0,-2550.0,-0.204,觸及權利金硬停損 (-50.0%)
2026-05-27 13:02:30,2026-05-27 13:03:00,TX420260544600P,SHORT,290.0,320.0,-1600.0,-0.1103448275862069,觸及權利金硬停損 (-50.0%)
2026-05-27 13:03:00,2026-05-27 13:03:30,TX420260544600P,SHORT,320.0,320.0,-100.0,-0.00625,觸及權利金硬停損 (-50.0%)
2026-05-27 13:10:04,2026-05-27 13:10:34,TX420260544700P,SHORT,394.0,347.0,2250.0,0.11421319796954314,觸及權利金硬停損 (-50.0%)
2026-05-27 13:10:34,2026-05-27 13:11:05,TX420260544700P,SHORT,347.0,363.0,-900.0,-0.05187319884726225,觸及權利金硬停損 (-50.0%)
2026-05-27 13:14:37,2026-05-27 13:15:07,TX420260544700P,SHORT,370.0,357.0,550.0,0.02972972972972973,觸及權利金硬停損 (-50.0%)
2026-05-27 13:15:07,2026-05-27 13:15:37,TX420260544700P,SHORT,357.0,368.0,-650.0,-0.036414565826330535,觸及權利金硬停損 (-50.0%)
2026-05-27 13:18:39,2026-05-27 13:19:09,TX420260544700P,LONG,360.0,362.0,0.0,0.0,觸及權利金硬停損 (-50.0%)
2026-05-27 13:19:09,2026-05-27 13:19:40,TX420260544700P,LONG,362.0,362.0,-100.0,-0.0055248618784530384,觸及權利金硬停損 (-50.0%)
2026-05-27 13:19:40,2026-05-27 13:20:10,TX420260544700P,LONG,362.0,366.0,100.0,0.0055248618784530384,觸及權利金硬停損 (-50.0%)
2026-05-27 13:20:10,2026-05-27 13:20:40,TX420260544700P,LONG,366.0,368.0,0.0,0.0,觸及權利金硬停損 (-50.0%)
2026-05-27 13:20:40,2026-05-27 13:21:11,TX420260544700P,LONG,368.0,367.0,-150.0,-0.008152173913043478,觸及權利金硬停損 (-50.0%)
2026-05-27 13:21:11,2026-05-27 13:21:41,TX420260544700P,LONG,367.0,366.0,-150.0,-0.008174386920980926,觸及權利金硬停損 (-50.0%)
2026-05-27 13:21:41,2026-05-27 13:22:11,TX420260544700P,LONG,366.0,369.0,50.0,0.00273224043715847,觸及權利金硬停損 (-50.0%)
2026-05-27 13:22:11,2026-05-27 13:22:41,TX420260544700P,LONG,369.0,365.0,-300.0,-0.016260162601626018,觸及權利金硬停損 (-50.0%)
